#separator:tab
#html:true
Disjoint sets	A\(\cup\)B=\(\emptyset\)
Theorem: there always exists a monotonic subsequence&nbsp;	2 possibilities:<br>-&nbsp;\(a_{n_i}\)&nbsp;is increasing, so there are a FINITE number of peaks<br>-&nbsp;\(a_{n_i}\)&nbsp;is decreasing, so there is an INFINITE number of peaks
Radius of convergence	1.&nbsp;\(r\neq \infty\)<br>a. converges&nbsp;\(\forall x \in \mathbb{R}: |x-c|&lt;r\)<br>b. diverges&nbsp;\(\forall x \in \mathbb{R} : |x-c|&gt;r\)<br>2.&nbsp;\(r=\infty\)<br>converges&nbsp;\(\forall x \in \mathbb{R}\)
"radius of convergence of power series:<br><img src=""paste-e2eb3f717727c63289078304dd516dbca0f24a63.jpg"">"	- apply the nth root test
Ratio test for sequences	Let&nbsp;\(0\le c \lt 1\)<br>If&nbsp;\(\exists N\in \mathbb{N} : \forall n\ge N, |\frac {a_{n+1}} {a_n}| \le c\), then&nbsp;\(lim_{n\rightarrow \infty} a_n = 0\)
Using the ratio test, test if&nbsp;\(a_n = 3^{-n} \)&nbsp;converges to 0	"<img src=""paste-2df9bab1276c130c3efcd8bc86766500c635292a.jpg"">"
Limit ratio test	Use when the ratios have n as a variable after simplifications, so it is hard to guess a suitable c<br>If&nbsp;\(r = lim_{n\rightarrow \infty} |\frac {a_{n+1}} {a_n}|\)&nbsp;exists and&nbsp;\(r&lt;1\), then converges to 0.
Upper bound of a set	u is an upper bound of X if&nbsp;\(\forall x\in X, x\le u\)
Supremum	a is a supremum if for all upper bounds u of X, a&nbsp;\(\le \)&nbsp;u
Axiom of Dedekind-completeness for real numbers	every non empty subset X of the real numbers that is bounded above has a supremum s
Prove that a monotonically increasing sequence that is bounded has a limit	Using the Dedekind-completeness axiom, we know that the supremum s exists, as {\(a_n | n\ge 1\)} is non empty and bounded.<br>Let&nbsp;\(\epsilon &gt;0\).<br>CLAIM 1: proof by contradiction for&nbsp;\(\exists N \in \mathbb{R}: |a_N - s| &lt; \epsilon\)<br>CLAIM 2:&nbsp;\(\forall n&gt;N, |a_n - s|&lt;\epsilon\)<br>So, the sequences converges to s
Prove the set of real numbers is complete	Let&nbsp;\(a_n\)&nbsp;be cauchy.<br>CLAIM 1:&nbsp;\(a_n\)&nbsp;is bounded.<br>- use fact it is cauchy and set&nbsp;\(\epsilon = 1\)<br>CLAIM 2:&nbsp;\(a_n\)&nbsp;has a convergent subsequence.<br>- use fact that&nbsp;there exists a monotonic subsequence + is bounded (by claim 1)<br>- so by the fundamental theorem of analysis, the supremum is the limit<br>CLAIM 3:&nbsp;\(a_n \)&nbsp;converges to s<br>- s is a real number, so complete
Completeness&nbsp;	a subset A in R is complete if any Cauchy sequence in A converges to a limit in A
Fundamental theorem of analysis	If a sequence is<br>1. increasing<br>2. bounded above<br>then the supremum s exists and is the limit of the sequence
Limit of a point of a function	\(\forall \epsilon &gt;0, \exists \delta &gt;0 : 0&lt;|x-x_0|&lt;\delta \implies |f(x)-l| &lt;\epsilon\)
Continuity of functions	1. continuous at&nbsp;\(x_0\)&nbsp;if&nbsp;\(lim_{x\rightarrow x_0} f(x) = f(x_0)\)<br>2. f is continuous at all&nbsp;\(x_0\)
"<img src=""paste-b386b2b5feb25bc7b93e399f7c6d7d7f7e982db7.jpg"">"	Let&nbsp;\(\epsilon&gt;0\).<br>\(|x sin(1/x)| = |x||sin(1/x)| \le |x| \lt\)\(\epsilon\)<br>Let&nbsp;\(\delta = \epsilon\).<br>So, the limit as x tends to 0 is 0.<br>Since the limit exists at x=0, the function is continuous at 0.
Continuity of combined functions f, g, which at continuous at&nbsp;\(x_0\)	- f&nbsp;\(\pm\)&nbsp;g is continuous at&nbsp;\(x_0\)<br>- f x g is continuous at&nbsp;\(x_0\)<br>- if g(\(x_0\))&nbsp;\(\neq\)&nbsp;0, then f/g is continuous at&nbsp;\(x_0\)
"Suppose f : (a,b) → R and g : (c,d) → R. Assuming that f is continuous at&nbsp;\(x_0\)&nbsp;and g is
 continuous at f(\(x_0\)), prove that the composition function g◦f : (a,b) → R
 is coontinuous at&nbsp;\(x_0\)&nbsp;using the&nbsp;\(\epsilon - \delta\)&nbsp;definition of continuity."	Let&nbsp;\(\epsilon &gt;0\). We need to find a&nbsp;\(\delta &gt; 0\)&nbsp;st&nbsp;\(|x-x_0|&lt;\delta\)&nbsp;implies&nbsp;\(|g(f(x)-g(f(x_0))|&lt;\epsilon\)<br>By continuity of g at&nbsp;\(f(x_0)\),&nbsp;\(\exists \delta_0&gt;0\)&nbsp;st&nbsp;\(|y-f(x_0)|&lt;\delta_0\)&nbsp;implies&nbsp;\(|g(y)-g(f(x_0))|&lt;\epsilon\)<br>By continuity of f at&nbsp;\(x_0\),&nbsp;\(\exists \delta&gt;0\)&nbsp;st&nbsp;\(|x-x_0|&lt;\delta\)&nbsp;implies&nbsp;\(|f(x)-f(x_0)|&lt;\delta_0\)<br>hence,&nbsp;\(|g(f(x)-g(f(x_0))|&lt;\epsilon\)
Suppose f : (a,b) → R and g : (c,d) → R. Assuming that f is continuous at&nbsp; \(x_0\)&nbsp;and g is continuous at f( \(x_0\) ), prove that the composition function g◦f : (a,b) → R is coontinuous at&nbsp; \(x_0\)&nbsp;by reducing the continuity of the 2 functions to convergence of sequences.	Let (\(a_n\)) be any sequence in (a,b) with&nbsp;\(a_n \rightarrow x_0\).<br>Then by the continuity of f at&nbsp;\(x_0\), we have f(\(a_n\))&nbsp;\(\rightarrow f(x_0)\)<br>The continuity of g at&nbsp;\(f(x_0)\)&nbsp;implies&nbsp;\(g(f(a_n)) \rightarrow g(f(x_0))\)<br>Hence, gf is continuous at&nbsp;\(x_0\)&nbsp;
Fundamental property of continuous functions	If f is continuous then&nbsp;\(\exists r, s \in [a, b]\)&nbsp;st&nbsp;\(f(r) = sup_{x\in[a, b]} f(x)\)&nbsp;and&nbsp;\(f(s) = inf_{x\in[a, b]} f(x)\)&nbsp;<br>ie f has a max and min in&nbsp;\([a, b]\)
Intermediate value theorem	If f is continuous and \(s\in \mathbb{R}\)&nbsp;is such that&nbsp;\(f(a)&lt;s&lt;f(b)\)&nbsp;then there exists&nbsp;\(c\in (a, b)\)&nbsp;st&nbsp;\(f(c) = s\)
Uniform continuity	The function&nbsp;\(f:A\rightarrow \mathbb{R}\)&nbsp;is uniformly continuous on A if&nbsp;\(\forall \epsilon &gt; 0, \exists \delta&gt;0\)&nbsp;st&nbsp;\(\forall x, x_0 \in A\),&nbsp;\(|f(x)-f(x_0)| &lt; \epsilon\)&nbsp;if&nbsp;\(|x-x_0|&lt;\delta\)
Show that the function&nbsp;\(f: [a, b] \rightarrow \mathbb{R}\),&nbsp;\(f(x) = x^2\)&nbsp;is uniformly continuous	let&nbsp;\(\epsilon &gt; 0\)<br>then&nbsp;\(|f(x) - f(x_0)| = |x^2-x_0^2| = |x-x_0||x+x_0|\le 2M|x-x_0|\)&nbsp;where&nbsp;\(M = max(|a|, |b|)\)<br>thus, for&nbsp;\(\delta = \epsilon/2M\)&nbsp;we get&nbsp;\(|x-x_0|&lt;\delta\)&nbsp;implies&nbsp;\(|x^2-x_0^2|&lt;\epsilon\)
Theorem on continuity over real numbers	If&nbsp;\(f:[a, b] \rightarrow \mathbb{R}\)&nbsp;for&nbsp;\(a, b \in \mathbb{R}\)&nbsp;is continuous, then it is uniformly continuous on [a, b]
Partition P of [a, b]	P:&nbsp;\(a = r_0 &lt; r_1 &lt;...&lt;r_i&lt;r_n = b\)
The norm of a partition P	\(||P|| =\)&nbsp;max{\(r_{i_1} - r_i:0\le i\le n-1\)}<br>ie the largest length of the subintervals in P
subinterval of partition P	A closed interval&nbsp;\([r_i, r_{i+1}]\)&nbsp;for&nbsp;\(0&lt;i\le n-1\)
\(P_2\)&nbsp;refines&nbsp;\(P_1\)	If&nbsp;\(P_2\)&nbsp;and&nbsp;\(P_1\)&nbsp;are partitions of [a, b], we say&nbsp;\(P_2\)&nbsp;refines&nbsp;\(P_1\)&nbsp;if&nbsp;\(P_1\subset P_2\)
Lower sum of a function&nbsp;\(f:[a, b] \rightarrow \mathbb{R}\)	"<img src=""paste-9b0c7dcd32b7a358a2b3c4c17da42a4d09720394.jpg"">"
Upper sum of a function&nbsp;\(f:[a, b] \rightarrow \mathbb{R}\)	"<img src=""paste-3feb82cb20588e5af25251a10fd6ffad7bae6cb9.jpg"">"
Riemann sum for P	"<img src=""paste-5ff58c47d05325f1343086504c985dea8df0d7cf.jpg"">"
Lower integral of&nbsp;\(f:[a, b] \rightarrow \mathbb{R}\)	"<img src=""paste-145604c708f56de39ea883ba01efc473fd4d9f28.jpg"">"
Upper integral of&nbsp;\(f:[a, b]\rightarrow \mathbb{R}\)	"<img src=""paste-46fc276cdca77e6d152d4a7f0fa1f7a054439e26.jpg"">"
Rieman integrable	If the lower and upper integral are a common value
Theorem of integrable bounded functions	A bounded function&nbsp;\(f:[a, b] \rightarrow \mathbb{R}\)&nbsp;is Riemann integrable with Riemann integral&nbsp;\(c\in \mathbb{R}\)&nbsp;iff&nbsp;\(\forall \epsilon&gt;0, \exists \)&nbsp;P of&nbsp;\([a, b]\)&nbsp;with&nbsp;\(c - L(f, P) &lt;\epsilon\)&nbsp;and&nbsp;\(U(f, P) - c&lt;\epsilon\)<br><br>OR<br>A bounded function&nbsp;\(f:[a, b] \rightarrow \mathbb{R}\)&nbsp;is Riemann integrable with Riemann integral&nbsp;\(c\in \mathbb{R}\)&nbsp;iff&nbsp;\(\forall \epsilon&gt;0, \exists \delta&gt;0\)&nbsp;such that for all&nbsp;P of&nbsp;\([a, b]\)&nbsp;with&nbsp;\(||P||&lt;\delta\), we have&nbsp;\(|S(f, P, s_i) - c|&lt;\epsilon\)
Riemann Integral of continuous functions theorem	Given&nbsp;\(f:[a, b]\rightarrow \mathbb{R}\)&nbsp;is continuous on interval&nbsp;\([a, b]\), then the Riemann integral exists.
Improper Riemann integral	The limit&nbsp;\(lim_{x\rightarrow \infty} \int_{a}^{x} f(y) dy\)&nbsp;exists as real numbers<br>If the limit does not exist, we say the improper integral diverges
Limit superior	Let&nbsp;\(b_n = sup\){\(a_m|m\ge n\)}<br>\(limsup_{n\rightarrow \infty} a_n = lim_{n\rightarrow \infty} b_n\)<br><br>eg<br>Let&nbsp;\(a_n = (-1)^n\), then&nbsp;\(limsup_{n\rightarrow \infty} a_n\)&nbsp;= 1&nbsp;<br>Let&nbsp;\(a_n = sin(n\pi/2)\), then&nbsp;\(limsup_{n\rightarrow \infty} a_n\)&nbsp;= 1
nth root test for absolute convergence	Consider series&nbsp;\(\Sigma_{n=1}^{\infty} a_n\)<br>If&nbsp;\(limsup_{n\rightarrow \infty} |a_n|^{1/n}&lt;1\)&nbsp;then the series converges absolutely.<br>If&nbsp;\(limsup_{n\rightarrow \infty} |a_n|^{1/n}&gt;1\)&nbsp;then the series diverges<br>If =1 then inconclusive
Differentiable at x	iff the&nbsp;\(\lim_{h\rightarrow 0} \frac {f(x+h) - f(x)} {h}\)&nbsp;exists and is a real number
Properties of derivatives	1. Polynomials have derivates at all points&nbsp;<br>2. If f is differentiable at x, then f is also continuous at x<br>3. If f is differentiable in (a, b) then&nbsp;\(f'(x_0)=0\)&nbsp;for any point&nbsp;\(x_0\)&nbsp;at which f is maximum or minimum<br>4. If f and g are differentiable at x, then the product function is also differentiable at x<br>5. If g and f are differentiable at x and g(x), then the composition of function fg is also differentiable at x<br>6. (af+bg)'(x) = af'(x) + bg'(x)
Rolle's Theorem	If&nbsp;\(f:[a, b]\rightarrow \mathbb{R}\)&nbsp;is continuous and&nbsp;\(f:(a, b) \rightarrow \mathbb{R}\)&nbsp;is differentiable with f(a) = f(b), then there exists&nbsp;\(c\in (a, b)\)&nbsp;such that&nbsp;\(f'(c) = 0\)
Mean value theorem	If&nbsp;\(f:[a, b] \rightarrow \mathbb{R}\)&nbsp;is continuous and&nbsp;\(f:(a, b) \rightarrow \mathbb{R}\)&nbsp;is differentiable, then there exists a&nbsp;\(c\in(a, b)\)&nbsp;such that<br>\(\frac{f(b)-f(a)} {b-a} = f'(c)\)
Taylor's Theorem	If f is n times differentiable in (a, b) with&nbsp;\(x_0\in(a, b)\)&nbsp;then for any&nbsp;\(x\in(a, b)\)&nbsp;we have:<br>\(f(x) = f(x_0) + \frac {(x-x_0) f'(x_0)} {1!} + \frac {(x-x_0)^2 f''(x_0)} {2!} + ... + \frac {(x-x_0)^{n} f^{(n)}(x_0)} {(n)!} + ...\)
L'Hopital's Rule	"<img src=""paste-cca9ee16880857efc124258e7245184498852185.jpg"">"
Fundamental theorem of calculus	"<img src=""paste-8530288395d736e46bca5d2deb62489e22b56f44.jpg"">"
Ratio test for radius of convergence	"<img src=""paste-e3f2a57a0ba81e1ae45439941f0c537a63bd0e59.jpg"">"
Addition of power series	"<img src=""paste-9827fae3b66deeda026a0876ca9ddc4d2910ac6a.jpg"">"
Smoothness of function	"<img src=""paste-016502b7632f78f709e3be1719e10bc61f41b8f2.jpg"">"
Real analytical function	"<img src=""paste-7a39b4406cc7ccee810acdb0e4e769c027380bba.jpg"">"
"<img src=""paste-4807fbcf45f39c194a6123362a9f5432af36875f.jpg""><br>What is the result from differentiating the series n times"	\(f^{(n)}(x_0) = n!a_n\)
Gradient of f at x	"<img src=""paste-7dff12c282e090c3b55e4f41a7a09803515c6084.jpg"">"
If f: [a, b] -&gt; R is continuous in [a, b] then f is bounded	prove it is upper bounded, as the lower bounded proof is similar<br>1. SUPPOSE NOT ie for all&nbsp;\(n\in \mathbb{N}\),&nbsp;\(\exists x_n \in [a, b]\)&nbsp;st&nbsp;\(n&lt;f(x_n)\)<br>2. Every bounded sequence has a monotonic converging subsequence:<br>Let&nbsp;\(x_{n_k} \rightarrow x_0\)&nbsp;(intermediate value theorem)<br>As&nbsp;\(k \rightarrow \infty\),&nbsp;\(n_k\rightarrow \infty\), and&nbsp;\(n_k&gt;f(x_{n_k})\), so is infinite<br>3. Sequence continuous, so&nbsp;\(\lim_{k\rightarrow \infty} f(x_{n_k}) = f(x_0)\)&nbsp;which is finite so contradiction
If f is continuous in [a, b], then it attains its sup and inf	1. Let M = sup{\(f(x):a\le x \le b\)}<br>\(\forall n\in \mathbb{N}^+, M-1/n &lt; f(x_n)\le M\)<br>2. Monotonic converging subsequence<br>\(\exists x_{n_k} \rightarrow x_0\)&nbsp;where&nbsp;\(\lim_{k\rightarrow \infty} f(x_{n_k}) = f(x_0)\)<br>So,&nbsp;\(M\lt f(x_0)\le M\), so&nbsp;\(M=f(x_0)\)<br>3. Same thing for inf
Proof that if&nbsp;\(f:[a, b]\rightarrow R\)&nbsp;is continuous, then it is uniformly continuous on [a, b]	1. Suppose not uniformly continuous, so:<br>\(\exists \epsilon &gt;0: \forall n\ge 1, \exists x_n,y_n\in [a, b]: |x_n-y_n|&lt;1/n \implies |f(x_n)-f(y_n)|\ge\epsilon\)<br>2.&nbsp;\(x_n\)&nbsp;is bounded, so it has a convergent monotonic subsequence<br>\(x_{n_k} \rightarrow x_0\)<br>3.&nbsp;\(|x_0 - y_{n_k}|\le |x_{n_k}-x_0|+|y_{n_k}-x_{n_k}|&lt;|x_{n_k}-x_0|+1/n_k\)<br>As&nbsp;\(k\rightarrow \infty\),&nbsp;\(|x_0 - y_{n_k}|\lt \epsilon\), and so it also converges to&nbsp;\(x_0\).<br>4. CONTRADICTION
Well-behaved functions partial derivatives in an open disk	"<img src=""paste-4e62a542694d82a02d999f1b2a4d23146fe26c61.jpg"">"
Higher dimension chain rule	"<img src=""paste-b671e1cf590c0d426d55af8188bf3f4d8c880e29.jpg""><br><img src=""paste-a4a071ab78d98e6cbd10348e1fbfb68a8b604703.jpg"">"
critical point of a function	"<img src=""paste-d2b0ac3f29e645d102f3dcb0ea5ae93649eee2d5.jpg"">"
Saddle	"The function is a minimum in one direction and maximum in another<br>Eg//<br><img src=""paste-4f02c6924599aa06c677bc328bb974bd8f8c5c24.jpg""><br><img src=""paste-e32480795465801fec010f0921f55f41c55c9b46.jpg"">"
f(y)-f(x) using&nbsp;\(b^2-ac\)	"1. strictly positive = x is a minimum if a&gt;0 and&nbsp;\(b^2-ac\)&lt;0<br>2. strictly negative = x is a max, if a&lt;0 and&nbsp;\(b^2-ac\)&lt;0<br>3. changes sign = x is a saddle if&nbsp;\(b^2-ac\)&gt;0<br>4. If none hold,&nbsp;\(b^2-ac\)= 0, so the critical point is degenerate<br><br>EG//<br><img src=""paste-034ca49b17424dfd12692aadc31ab191709f0e64.jpg""><br><img src=""paste-3129e5708089dbc8120636b09c8e1b7300156d1b.jpg""><br><img src=""paste-672c0ca1f6d8a37edc0c8423c567ced4aced51a8.jpg"">"
f(y)-f(x) using eigenvalues	"i. strictly positive = x is a min if all eigenvalues of&nbsp;\(H(x_1, x_2)\)&nbsp;are positive<br>ii. strictly negative = x is a max if all eigenvalues of&nbsp;\(H(x_1, x_2)\)&nbsp;are negative<br>iii. changes sign = x is a saddle if&nbsp;\(H(x_1, x_2)\)&nbsp;has both positive and negative eigenvalues with no zero eigenvalue<br><br>EG//<br><img src=""paste-be3774115f287da823f895f5f3c9f01ba34a93e3.jpg"">"
Hessian matrix H	"<img src=""paste-446432d5181d7f17507baef5c260a37b8b044c9e.jpg""><br>"
f(y)-f(x) in Hessian matrix format	"<img src=""paste-3ec63cd68f9dd2980f1ea195476097d18b61a000.jpg""><br>in 1D:<br><img src=""paste-c9c925eaf3e390f3054456dff4ba6272afa7f0ce.jpg"">"
Linear map	"<img src=""paste-58c0b466971b71d313fdb6bf96afc1a3042f832b.jpg"">"
Affine map	"<img src=""paste-46201e5fde48fca9cea8e37493e7f835cf77bfa2.jpg"">"
Newton's difference quotient	"<img src=""paste-66bce4b2d998a9ed431069ffc66c6140fedc209e.jpg"">"
Metric Space	"<img src=""paste-f9dac428b3e07a08f677a2cfe863759ddacc30ff.jpg""><br><img src=""paste-c3d901d3a97fdd56cdc0c2bb5ae6693bbb588f40.jpg"">"
metric equivalence	"<img src=""paste-9c00a3f2718d3624105e5208566743a8bd70de0e.jpg"">"
